Date,Open,High,Low,Close,Adj Close,Volume
2016-03-16,111400.000000,112500.000000,108700.000000,109600.000000,108976.304688,389061
2016-03-17,111300.000000,112500.000000,110800.000000,112300.000000,111660.945313,284988
2016-03-18,113100.000000,113400.000000,111500.000000,112200.000000,111561.507813,198312
2016-03-21,112200.000000,112200.000000,107700.000000,109700.000000,109075.734375,380718
2016-03-22,108300.000000,109600.000000,106500.000000,109500.000000,108876.875000,384549
2016-03-23,108500.000000,110000.000000,106600.000000,106600.000000,105993.382813,340552
2016-03-24,106600.000000,107600.000000,106300.000000,107000.000000,106391.101563,140530
2016-03-25,106500.000000,107000.000000,102000.000000,102700.000000,102115.562500,455121
2016-03-28,101700.000000,102800.000000,100300.000000,100800.000000,100226.390625,383688
2016-03-29,100800.000000,101900.000000,99900.000000,100400.000000,99828.671875,316286
2016-03-30,100400.000000,101800.000000,99900.000000,100100.000000,99530.367188,350996
2016-03-31,100400.000000,100500.000000,98500.000000,99200.000000,98635.500000,561169
2016-04-01,99600.000000,103500.000000,99500.000000,101800.000000,101220.695313,366275
2016-04-04,99300.000000,100400.000000,98000.000000,99300.000000,98734.914063,478190
2016-04-05,99300.000000,99600.000000,96500.000000,96500.000000,95950.859375,498991
2016-04-06,96800.000000,97500.000000,96000.000000,96800.000000,96249.148438,321259
2016-04-07,97000.000000,98700.000000,97000.000000,98400.000000,97840.046875,224112
2016-04-08,97500.000000,98800.000000,96800.000000,98800.000000,98237.765625,209609
2016-04-11,99500.000000,99800.000000,97600.000000,97800.000000,97243.468750,200950
2016-04-12,99100.000000,101900.000000,99100.000000,100400.000000,99828.671875,462246
2016-04-14,102800.000000,102800.000000,100300.000000,100300.000000,99729.234375,363868
2016-04-15,101100.000000,101900.000000,100400.000000,101200.000000,100624.117188,180592
2016-04-18,101400.000000,102500.000000,100600.000000,102200.000000,101618.421875,261253
2016-04-19,102100.000000,102600.000000,101600.000000,102500.000000,101916.710938,220187
2016-04-20,102000.000000,103800.000000,102000.000000,103100.000000,102513.296875,252591
2016-04-21,103500.000000,103700.000000,101200.000000,101500.000000,100922.398438,196377
2016-04-22,101500.000000,101500.000000,99500.000000,99600.000000,99033.218750,266347
2016-04-25,100400.000000,104300.000000,100000.000000,104300.000000,103706.468750,400201
2016-04-26,105600.000000,105700.000000,101600.000000,101600.000000,101021.835938,345534
2016-04-27,102500.000000,103000.000000,101300.000000,102400.000000,101817.281250,167047
2016-04-28,103500.000000,103500.000000,100400.000000,100500.000000,99928.093750,245294
2016-04-29,100000.000000,100500.000000,99500.000000,100500.000000,99928.093750,144488
2016-05-02,99500.000000,100300.000000,99400.000000,99600.000000,99033.218750,129817
2016-05-03,99600.000000,100700.000000,99600.000000,99800.000000,99232.078125,110400
2016-05-04,100100.000000,100700.000000,99700.000000,100000.000000,99430.945313,134988
2016-05-09,99700.000000,102300.000000,99700.000000,101700.000000,101121.265625,251719
2016-05-10,101900.000000,102200.000000,99900.000000,100600.000000,100027.531250,208613
2016-05-11,101500.000000,106300.000000,100800.000000,105700.000000,105098.500000,719902
2016-05-12,104300.000000,107900.000000,104000.000000,106300.000000,105695.085938,559362
2016-05-13,105700.000000,105900.000000,103300.000000,103800.000000,103209.320313,260861
2016-05-16,103100.000000,106200.000000,102400.000000,105400.000000,104800.203125,244587
2016-05-17,104500.000000,106200.000000,104100.000000,105100.000000,104501.914063,199833
2016-05-18,104100.000000,104900.000000,103100.000000,104500.000000,103905.328125,207110
2016-05-19,104600.000000,105300.000000,99800.000000,100300.000000,99729.234375,396406
2016-05-20,99900.000000,100500.000000,98500.000000,99300.000000,98734.914063,322346
2016-05-23,100200.000000,101700.000000,100000.000000,100200.000000,99629.804688,171336
2016-05-24,100200.000000,100700.000000,99200.000000,99200.000000,98635.500000,172022
2016-05-25,99400.000000,100500.000000,99200.000000,99600.000000,99033.218750,232780
2016-05-26,99700.000000,100300.000000,98900.000000,99700.000000,99132.640625,185523
2016-05-27,100400.000000,101200.000000,99900.000000,100600.000000,100027.531250,201380
2016-05-30,101600.000000,103500.000000,101300.000000,102800.000000,102215.007813,353802
2016-05-31,102800.000000,103500.000000,102000.000000,102800.000000,102215.007813,332493
2016-06-01,102900.000000,103000.000000,98100.000000,98500.000000,97939.476563,1011274
2016-06-02,99000.000000,99300.000000,96300.000000,97500.000000,96945.164063,556790
2016-06-03,97000.000000,98600.000000,96900.000000,98000.000000,97442.320313,321939
2016-06-07,97900.000000,98600.000000,97100.000000,98200.000000,97641.187500,278467
2016-06-08,97400.000000,98400.000000,96900.000000,97000.000000,96448.015625,330359
2016-06-09,97400.000000,97500.000000,94400.000000,95200.000000,94658.265625,870266
2016-06-10,95500.000000,96100.000000,94600.000000,94900.000000,94359.968750,394023
2016-06-13,94200.000000,94500.000000,93500.000000,93800.000000,93266.226563,262900
2016-06-14,93000.000000,95200.000000,93000.000000,94100.000000,93564.507813,282122
2016-06-15,93900.000000,94000.000000,92800.000000,92800.000000,92271.914063,248917
2016-06-16,93000.000000,93800.000000,90900.000000,91200.000000,90681.007813,347392
2016-06-17,91700.000000,92400.000000,90700.000000,91300.000000,90780.453125,253700
2016-06-20,91500.000000,94900.000000,91500.000000,94900.000000,94359.968750,301386
2016-06-21,95200.000000,95700.000000,93600.000000,93800.000000,93266.226563,184809
2016-06-22,93300.000000,94700.000000,93300.000000,94200.000000,93663.953125,139412
2016-06-23,93800.000000,94000.000000,92900.000000,93200.000000,92669.632813,186812
2016-06-24,94500.000000,94600.000000,88300.000000,91200.000000,90681.007813,713158
2016-06-27,88700.000000,91800.000000,88700.000000,91600.000000,91078.750000,322279
2016-06-28,91000.000000,92600.000000,90900.000000,91200.000000,90681.007813,277899
2016-06-29,92200.000000,93300.000000,92200.000000,92200.000000,91675.335938,237550
2016-06-30,93100.000000,93700.000000,92700.000000,93100.000000,92570.210938,163504
2016-07-01,93600.000000,95300.000000,93500.000000,94700.000000,94161.101563,280867
2016-07-04,95200.000000,95500.000000,93700.000000,93800.000000,93266.226563,190799
2016-07-05,93600.000000,94300.000000,92900.000000,93300.000000,92769.062500,187924
2016-07-06,93800.000000,94900.000000,92600.000000,94700.000000,94161.101563,271543
2016-07-07,94800.000000,95700.000000,94700.000000,95000.000000,94459.398438,194706
2016-07-08,94000.000000,94300.000000,93400.000000,93700.000000,93166.789063,224800
2016-07-11,94200.000000,95000.000000,93600.000000,95000.000000,94459.398438,184007
2016-07-12,95100.000000,95700.000000,95000.000000,95500.000000,94956.546875,248311
2016-07-13,96000.000000,96200.000000,94200.000000,94500.000000,93962.242188,229034
2016-07-14,95000.000000,95000.000000,94000.000000,94800.000000,94260.539063,149363
2016-07-15,95000.000000,95400.000000,94300.000000,94300.000000,93763.382813,197554
2016-07-18,94300.000000,94500.000000,93100.000000,93200.000000,92669.632813,198412
2016-07-19,93000.000000,93900.000000,93000.000000,93500.000000,92967.929688,131218
2016-07-20,93600.000000,94600.000000,93300.000000,93500.000000,92967.929688,129539
2016-07-21,94100.000000,94300.000000,92700.000000,92700.000000,92172.484375,183072
2016-07-22,92700.000000,94100.000000,92700.000000,92700.000000,92172.484375,188337
2016-07-25,93100.000000,93200.000000,92100.000000,92200.000000,91675.335938,176203
2016-07-26,92600.000000,92600.000000,91400.000000,91500.000000,90979.312500,223967
2016-07-27,91200.000000,92300.000000,91100.000000,91200.000000,90681.007813,192058
2016-07-28,91400.000000,92000.000000,90700.000000,91600.000000,91078.750000,220576
2016-07-29,91500.000000,91600.000000,90900.000000,90900.000000,90382.726563,236131
2016-08-01,91500.000000,91600.000000,90600.000000,91000.000000,90482.156250,234983
2016-08-02,91000.000000,91300.000000,90800.000000,91000.000000,90482.156250,122894
2016-08-03,90700.000000,94200.000000,90600.000000,93900.000000,93365.648438,416577
2016-08-04,93800.000000,93800.000000,92300.000000,92300.000000,91774.765625,266692
2016-08-05,92800.000000,93600.000000,92000.000000,92100.000000,91575.898438,209258
2016-08-08,92700.000000,92700.000000,91200.000000,91500.000000,90979.312500,198686
2016-08-09,91900.000000,93000.000000,91600.000000,92900.000000,92371.343750,288342
