지점,지점명,일시,평균기온(°C)
133,대전,2016-02-01,-3.9
133,대전,2016-02-02,-3.9
133,대전,2016-02-03,-1.9
133,대전,2016-02-04,-.5
133,대전,2016-02-05,-.7
133,대전,2016-02-06,-1.6
133,대전,2016-02-07,-2.3
133,대전,2016-02-08,2.2
133,대전,2016-02-09,2.6
133,대전,2016-02-10,3.3
133,대전,2016-02-11,6.8
133,대전,2016-02-12,10
133,대전,2016-02-13,13
133,대전,2016-02-14,-.1
133,대전,2016-02-15,-3.3
133,대전,2016-02-16,-.2
133,대전,2016-02-17,.9
133,대전,2016-02-18,3.8
133,대전,2016-02-19,3.5
133,대전,2016-02-20,2.5
133,대전,2016-02-21,.4
133,대전,2016-02-22,2.9
133,대전,2016-02-23,2.5
133,대전,2016-02-24,-1.7
133,대전,2016-02-25,.5
133,대전,2016-02-26,2.5
133,대전,2016-02-27,5.4
133,대전,2016-02-28,2.2
133,대전,2016-02-29,-2.7
133,대전,2016-03-01,-1.4
133,대전,2016-03-02,3
133,대전,2016-03-03,7.4
133,대전,2016-03-04,9.8
133,대전,2016-03-05,12.2
133,대전,2016-03-06,10.3
133,대전,2016-03-07,9
133,대전,2016-03-08,5
133,대전,2016-03-09,2.2
133,대전,2016-03-10,.3
133,대전,2016-03-11,.6
133,대전,2016-03-12,2.8
133,대전,2016-03-13,4.1
133,대전,2016-03-14,4.4
133,대전,2016-03-15,6
133,대전,2016-03-16,9.2
133,대전,2016-03-17,10.1
133,대전,2016-03-18,11
133,대전,2016-03-19,11
133,대전,2016-03-20,9.7
133,대전,2016-03-21,9.5
133,대전,2016-03-22,9.4
133,대전,2016-03-23,8.3
133,대전,2016-03-24,6.9
133,대전,2016-03-25,6.8
133,대전,2016-03-26,6.4
133,대전,2016-03-27,7.2
133,대전,2016-03-28,9.4
133,대전,2016-03-29,12.9
133,대전,2016-03-30,14.4
133,대전,2016-03-31,13.1
133,대전,2016-04-01,15
133,대전,2016-04-02,16
133,대전,2016-04-03,13.4
133,대전,2016-04-04,13.5
133,대전,2016-04-05,13
133,대전,2016-04-06,13.9
133,대전,2016-04-07,13.2
133,대전,2016-04-08,14
133,대전,2016-04-09,15.9
133,대전,2016-04-10,16.6
133,대전,2016-04-11,13.2
133,대전,2016-04-12,14.8
133,대전,2016-04-13,14.4
133,대전,2016-04-14,15.4
133,대전,2016-04-15,15.6
133,대전,2016-04-16,14.8
133,대전,2016-04-17,12.2
133,대전,2016-04-18,12.3
133,대전,2016-04-19,12.8
133,대전,2016-04-20,13.1
133,대전,2016-04-21,13.7
133,대전,2016-04-22,17.4
133,대전,2016-04-23,15.4
133,대전,2016-04-24,15.4
133,대전,2016-04-25,17.7
133,대전,2016-04-26,19.9
133,대전,2016-04-27,13.3
133,대전,2016-04-28,14.3
133,대전,2016-04-29,15.1
133,대전,2016-04-30,17.2
133,대전,2016-05-01,19.5
133,대전,2016-05-02,19.8
133,대전,2016-05-03,14.3
133,대전,2016-05-04,17.1
133,대전,2016-05-05,19.6
133,대전,2016-05-06,20.5
133,대전,2016-05-07,17.1
133,대전,2016-05-08,19.1
133,대전,2016-05-09,20
133,대전,2016-05-10,14.1
133,대전,2016-05-11,17
133,대전,2016-05-12,18.8
133,대전,2016-05-13,17.6
133,대전,2016-05-14,20.3
133,대전,2016-05-15,19.7
133,대전,2016-05-16,15.9
133,대전,2016-05-17,19.1
133,대전,2016-05-18,21.5
133,대전,2016-05-19,23.3
133,대전,2016-05-20,22.7
133,대전,2016-05-21,23.1
133,대전,2016-05-22,22.6
133,대전,2016-05-23,23.1
133,대전,2016-05-24,18.3
133,대전,2016-05-25,19.5
133,대전,2016-05-26,21
