Date,Open,High,Low,Close,Adj Close,Volume
2016-03-16,31.900000,33.209999,31.750000,33.099998,32.504585,9091100
2016-03-17,32.980000,33.139999,32.369999,32.820000,32.229622,8842000
2016-03-18,33.209999,34.250000,33.000000,33.810001,33.201820,13637800
2016-03-21,33.509998,33.919998,33.150002,33.910000,33.300011,8444500
2016-03-22,33.799999,34.090000,33.430000,33.849998,33.241096,6050300
2016-03-23,34.000000,34.680000,33.849998,34.430000,33.810669,10725200
2016-03-24,34.119999,34.540001,34.009998,34.480000,33.859760,6123900
2016-03-28,34.419998,34.980000,34.380001,34.830002,34.203472,6634700
2016-03-29,34.680000,35.470001,34.599998,35.389999,34.753399,6545300
2016-03-30,35.520000,36.250000,35.500000,35.759998,35.116737,9417500
2016-03-31,35.919998,36.000000,35.349998,35.630001,34.989075,9497100
2016-04-01,35.410000,36.169998,35.139999,36.150002,35.499729,8707300
2016-04-04,36.450001,36.639999,35.660000,35.799999,35.156013,9848500
2016-04-05,35.480000,36.080002,35.340000,35.750000,35.106918,8489200
2016-04-06,35.299999,35.820000,34.630001,35.799999,35.156013,11334400
2016-04-07,35.570000,35.889999,35.279999,35.430000,34.792675,9452600
2016-04-08,35.720001,35.950001,35.310001,35.660000,35.018539,6398400
2016-04-11,35.869999,36.470001,35.759998,35.880001,35.234581,9688100
2016-04-12,36.000000,36.049999,35.139999,35.840000,35.195301,7319100
2016-04-13,36.000000,36.750000,36.000000,36.740002,36.079113,8767900
2016-04-14,36.639999,37.000000,36.490002,36.840000,36.177315,10414100
2016-04-15,36.830002,37.459999,36.709999,37.130001,36.462097,10924300
2016-04-18,37.060001,37.060001,36.610001,36.970001,36.304977,7683000
2016-04-19,37.110001,37.180000,36.080002,36.310001,35.656845,7728800
2016-04-20,36.250000,36.669998,36.209999,36.450001,35.794334,5004300
2016-04-21,36.459999,36.630001,36.250000,36.410000,35.755043,4457000
2016-04-22,36.529999,36.779999,36.150002,36.270000,35.617569,5588500
2016-04-25,36.279999,36.650002,36.180000,36.450001,35.794334,4799300
2016-04-26,36.669998,37.090000,36.320000,36.480000,35.823788,5363400
2016-04-27,36.389999,37.330002,36.320000,37.310001,36.638863,8809900
2016-04-28,37.080002,37.299999,36.110001,36.200001,35.548836,9530600
2016-04-29,36.049999,36.130001,35.139999,35.529999,34.890881,8047600
2016-05-02,35.869999,36.220001,35.700001,36.000000,35.352425,6401900
2016-05-03,35.590000,35.740002,35.259998,35.570000,34.930164,5600600
2016-05-04,35.139999,35.169998,34.400002,34.759998,34.134720,13144100
2016-05-05,35.049999,35.380001,34.709999,34.970001,34.340954,6172100
2016-05-06,34.910000,35.419998,34.840000,35.330002,34.694485,4581000
2016-05-09,35.419998,35.570000,34.990002,35.279999,34.645378,8333400
2016-05-10,35.500000,36.020000,35.160000,35.959999,35.313145,6741900
2016-05-11,36.070000,36.459999,35.869999,36.060001,35.411339,8204400
2016-05-12,36.320000,36.480000,34.930000,35.570000,34.930164,16763500
2016-05-13,39.189999,41.000000,39.000000,40.980000,40.242840,52756400
2016-05-16,40.669998,42.799999,40.540001,42.189999,41.431072,24325800
2016-05-17,42.000000,42.580002,41.459999,42.279999,41.519455,15709800
2016-05-18,42.000000,43.849998,42.000000,43.360001,42.580029,13526800
2016-05-19,43.189999,43.860001,43.130001,43.549999,42.766613,9972000
2016-05-20,43.820000,44.509998,43.750000,44.330002,43.532581,9777100
2016-05-23,44.520000,44.689999,44.130001,44.400002,43.601318,10340900
2016-05-24,44.419998,45.500000,44.299999,45.360001,44.659729,10394700
2016-05-25,45.500000,45.689999,44.810001,45.169998,44.472656,11451900
2016-05-26,45.250000,45.980000,45.119999,45.650002,44.945244,7749100
2016-05-27,45.700001,45.970001,45.549999,45.900002,45.191387,6935400
2016-05-31,46.099998,46.820000,46.070000,46.720001,45.998734,10313100
2016-06-01,46.500000,47.259998,46.360001,46.810001,46.087341,9678300
2016-06-02,47.060001,47.540001,46.599998,47.139999,46.412251,8230200
2016-06-03,46.680000,46.740002,45.660000,46.480000,45.762432,11526900
2016-06-06,46.599998,46.959999,46.000000,46.240002,45.526142,8062800
2016-06-07,46.520000,46.779999,46.310001,46.330002,45.614750,4835000
2016-06-08,46.340000,46.509998,45.799999,46.180000,45.467064,5865400
2016-06-09,46.020000,47.450001,45.919998,47.380001,46.648548,11804200
2016-06-10,46.820000,47.240002,46.139999,46.200001,45.486755,10000600
2016-06-13,46.250000,47.700001,46.250000,46.790001,46.067657,11889700
2016-06-14,46.680000,47.099998,46.160000,46.880001,46.156258,7458600
2016-06-15,47.270000,47.770000,46.750000,47.360001,46.628849,7525900
2016-06-16,47.009998,47.630001,46.549999,47.549999,46.815914,6161400
2016-06-17,47.610001,47.619999,46.529999,46.720001,45.998734,11775000
2016-06-20,47.470001,48.169998,47.439999,47.560001,46.825771,7344200
2016-06-21,47.759998,47.889999,47.200001,47.270000,46.540249,5312700
2016-06-22,47.369999,47.680000,47.150002,47.230000,46.500854,5065500
2016-06-23,47.680000,48.540001,47.650002,48.490002,47.741413,7447000
2016-06-24,46.500000,47.360001,45.299999,45.730000,45.024006,25442100
2016-06-27,45.349998,45.700001,44.570000,45.240002,44.541580,11227200
2016-06-28,46.099998,46.150002,45.270000,45.900002,45.191387,9548000
2016-06-29,46.299999,47.009998,46.180000,46.650002,45.929813,7973300
2016-06-30,46.730000,47.299999,46.349998,47.009998,46.284256,10773500
2016-07-01,46.750000,47.360001,46.500000,46.660000,45.939648,5462200
2016-07-05,46.400002,47.430000,46.029999,47.349998,46.618996,9277100
2016-07-06,47.020000,47.930000,46.779999,47.650002,46.914371,6827600
2016-07-07,47.970001,49.060001,47.750000,48.889999,48.135231,9885000
2016-07-08,49.410000,51.090000,49.220001,50.849998,50.064968,12048300
2016-07-11,51.580002,52.400002,51.520000,52.020000,51.216915,11219400
2016-07-12,52.599998,53.279999,51.939999,52.799999,51.984863,10919000
2016-07-13,52.900002,53.200001,52.700001,52.779999,51.965183,8115100
2016-07-14,53.060001,53.799999,52.619999,53.320000,52.496838,7922300
2016-07-15,52.639999,52.939999,51.840000,52.700001,51.886410,10715400
2016-07-18,53.349998,53.430000,52.770000,52.970001,52.152237,6324800
2016-07-19,52.939999,53.730000,52.840000,53.520000,52.693748,9566300
2016-07-20,53.700001,54.509998,53.480000,54.220001,53.382946,7411500
2016-07-21,54.099998,54.270000,53.040001,53.220001,52.398392,9032700
2016-07-22,53.410000,54.669998,53.020000,54.669998,53.825993,7894200
2016-07-25,55.000000,55.810001,54.759998,55.680000,54.820400,7813200
2016-07-26,56.169998,56.919998,56.090000,56.630001,55.755737,12862700
2016-07-27,57.119999,57.220001,55.720001,56.060001,55.194542,11166900
2016-07-28,56.189999,56.599998,56.009998,56.180000,55.312683,5547900
2016-07-29,56.389999,57.250000,55.380001,57.099998,56.218475,10239700
2016-08-01,57.340000,57.549999,56.360001,56.730000,55.854191,7528000
2016-08-02,57.000000,57.029999,55.500000,56.040001,55.174839,7068700
2016-08-03,55.970001,56.299999,55.660000,56.189999,55.322529,7495700
2016-08-04,56.459999,57.490002,56.349998,57.230000,56.346474,6817800
2016-08-05,57.889999,58.230000,57.610001,58.200001,57.301498,9289700
2016-08-08,59.000000,59.139999,58.119999,58.740002,57.833164,7626600
2016-08-09,59.029999,59.459999,58.740002,58.889999,57.980850,9308600
2016-08-10,59.410000,59.500000,58.320000,58.509998,57.606712,9393500
2016-08-11,58.820000,59.950001,58.700001,59.700001,58.778347,17026600
2016-08-12,61.900002,63.380001,60.630001,63.040001,62.066776,35643600
2016-08-15,63.110001,63.500000,62.130001,62.980000,62.007710,14332600
2016-08-16,62.889999,62.990002,62.410000,62.599998,61.633564,7191300
2016-08-17,62.599998,62.740002,60.660000,61.150002,60.205956,14880300
2016-08-18,61.060001,62.200001,60.820000,62.099998,61.141285,8292100
2016-08-19,62.070000,62.730000,61.799999,62.259998,61.298820,7289000
2016-08-22,62.450001,62.610001,61.709999,62.520000,61.554810,6118700
2016-08-23,63.040001,63.320000,62.730000,62.910000,62.052921,8494100
2016-08-24,63.130001,63.160000,61.650002,61.939999,61.096142,7461200
2016-08-25,61.959999,61.990002,60.759998,61.529999,60.691730,10150800
2016-08-26,61.689999,62.380001,61.200001,62.029999,61.184910,7500600
2016-08-29,62.279999,62.529999,61.889999,61.990002,61.145470,6866300
2016-08-30,61.910000,62.240002,61.459999,61.630001,60.790359,7138600
2016-08-31,61.750000,61.919998,61.160000,61.340000,60.504307,9713600
2016-09-01,61.389999,63.380001,61.340000,63.150002,62.289658,10712300
2016-09-02,63.279999,63.349998,61.820000,62.529999,61.678097,8078700
2016-09-06,62.750000,63.119999,62.430000,63.119999,62.260063,7670300
2016-09-07,62.919998,63.230000,61.830002,62.189999,61.342720,9949700
2016-09-08,62.130001,62.740002,61.419998,62.639999,61.786598,7895200
2016-09-09,61.950001,62.299999,59.000000,59.520000,58.709114,17444000
2016-09-12,58.730000,60.869999,57.320000,60.750000,59.922352,14956500
2016-09-13,60.599998,61.299999,59.529999,59.869999,59.054340,11794200
2016-09-14,60.009998,60.599998,59.509998,60.400002,59.577118,7976200
2016-09-15,60.500000,62.759998,60.360001,62.689999,61.835922,12880300
2016-09-16,62.910000,63.250000,62.119999,62.840000,61.983887,22561100
2016-09-19,63.500000,65.260002,63.209999,63.669998,62.802567,10428200
2016-09-20,64.400002,64.400002,62.740002,63.090000,62.230473,8277800
2016-09-21,63.279999,64.980003,63.270000,64.860001,63.976345,8405300
2016-09-22,65.239998,65.440002,64.650002,65.019997,64.134178,7718300
2016-09-23,65.099998,65.290001,64.660004,64.949997,64.065132,6903300
2016-09-26,64.209999,64.599998,63.529999,64.339996,63.463440,5751000
